,Rented Bike Count,Hour,Temperature (C),Humidity (%),Wind speed (m/s),Visibility (10m),Dew point temperature (C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Holiday,x0_Autumn,x0_Spring,x0_Summer,x0_Winter,Weekday
0,254,0,-5.2,37.0,2.2,2000,-17.6,0.0,0.0,0.0,0,0,0,0,1,1
1,204,1,-5.5,38.0,0.8,2000,-17.6,0.0,0.0,0.0,0,0,0,0,1,1
2,173,2,-6.0,39.0,1.0,2000,-17.7,0.0,0.0,0.0,0,0,0,0,1,1
3,107,3,-6.2,40.0,0.9,2000,-17.6,0.0,0.0,0.0,0,0,0,0,1,1
4,78,4,-6.0,36.0,2.3,2000,-18.6,0.0,0.0,0.0,0,0,0,0,1,1
5,100,5,-6.4,37.0,1.5,2000,-18.7,0.0,0.0,0.0,0,0,0,0,1,1
6,181,6,-6.6,35.0,1.3,2000,-19.5,0.0,0.0,0.0,0,0,0,0,1,1
7,460,7,-7.4,38.0,0.9,2000,-19.3,0.0,0.0,0.0,0,0,0,0,1,1
8,930,8,-7.6,37.0,1.1,2000,-19.8,0.01,0.0,0.0,0,0,0,0,1,1
9,490,9,-6.5,27.0,0.5,1928,-22.4,0.23,0.0,0.0,0,0,0,0,1,1
10,339,10,-3.5,24.0,1.2,1996,-21.2,0.65,0.0,0.0,0,0,0,0,1,1
11,360,11,-0.5,21.0,1.3,1936,-20.2,0.94,0.0,0.0,0,0,0,0,1,1
12,449,12,1.7,23.0,1.4,2000,-17.2,1.11,0.0,0.0,0,0,0,0,1,1
13,451,13,2.4,25.0,1.6,2000,-15.6,1.16,0.0,0.0,0,0,0,0,1,1
14,447,14,3.0,26.0,2.0,2000,-14.6,1.01,0.0,0.0,0,0,0,0,1,1
15,463,15,2.1,36.0,3.2,2000,-11.4,0.54,0.0,0.0,0,0,0,0,1,1
16,484,16,1.2,54.0,4.2,793,-7.0,0.24,0.0,0.0,0,0,0,0,1,1
17,555,17,0.8,58.0,1.6,2000,-6.5,0.08,0.0,0.0,0,0,0,0,1,1
18,862,18,0.6,66.0,1.4,2000,-5.0,0.0,0.0,0.0,0,0,0,0,1,1
19,600,19,0.0,77.0,1.7,2000,-3.5,0.0,0.0,0.0,0,0,0,0,1,1
20,426,20,-0.3,79.0,1.5,1913,-3.5,0.0,0.0,0.0,0,0,0,0,1,1
21,405,21,-0.8,81.0,0.8,1687,-3.6,0.0,0.0,0.0,0,0,0,0,1,1
22,398,22,-0.9,83.0,1.5,1380,-3.4,0.0,0.0,0.0,0,0,0,0,1,1
23,323,23,-1.3,84.0,1.0,1265,-3.6,0.0,0.0,0.0,0,0,0,0,1,1
24,328,0,-1.8,87.0,1.1,994,-3.6,0.0,0.0,0.0,0,0,0,0,1,0
25,308,1,-2.2,86.0,0.6,990,-4.2,0.0,0.0,0.0,0,0,0,0,1,0
26,262,2,-2.9,86.0,1.5,1256,-4.9,0.0,0.0,0.0,0,0,0,0,1,0
27,167,3,-3.5,81.0,2.2,1221,-6.2,0.0,0.0,0.0,0,0,0,0,1,0
28,89,4,-3.8,79.0,2.0,1167,-6.9,0.0,0.0,0.0,0,0,0,0,1,0
29,79,5,-4.0,79.0,1.5,1202,-7.1,0.0,0.0,0.0,0,0,0,0,1,0
30,70,6,-4.3,82.0,2.1,1178,-6.9,0.0,0.0,0.0,0,0,0,0,1,0
31,146,7,-4.4,81.0,2.5,1276,-7.1,0.0,0.0,0.0,0,0,0,0,1,0
32,219,8,-4.2,79.0,2.1,1436,-7.3,0.01,0.0,0.0,0,0,0,0,1,0
33,328,9,-2.9,68.0,1.6,1487,-7.9,0.3,0.0,0.0,0,0,0,0,1,0
34,334,10,-0.4,57.0,1.6,1309,-7.8,0.8,0.0,0.0,0,0,0,0,1,0
35,388,11,1.9,49.0,1.8,1406,-7.7,1.0,0.0,0.0,0,0,0,0,1,0
36,479,12,4.3,41.0,1.3,1666,-7.8,1.09,0.0,0.0,0,0,0,0,1,0
37,606,13,6.0,36.0,1.8,1780,-7.9,1.12,0.0,0.0,0,0,0,0,1,0
38,611,14,7.3,35.0,1.3,1955,-7.1,0.99,0.0,0.0,0,0,0,0,1,0
39,589,15,7.6,41.0,2.3,1953,-4.8,0.74,0.0,0.0,0,0,0,0,1,0
40,618,16,6.4,48.0,2.6,1945,-3.8,0.22,0.0,0.0,0,0,0,0,1,0
41,572,17,6.0,51.0,2.5,1891,-3.3,0.06,0.0,0.0,0,0,0,0,1,0
42,489,18,5.5,53.0,1.5,1697,-3.3,0.0,0.0,0.0,0,0,0,0,1,0
43,385,19,5.0,52.0,2.3,1666,-4.0,0.0,0.0,0.0,0,0,0,0,1,0
44,359,20,4.6,51.0,1.2,1585,-4.6,0.0,0.0,0.0,0,0,0,0,1,0
45,377,21,4.1,55.0,1.2,1448,-4.1,0.0,0.0,0.0,0,0,0,0,1,0
46,354,22,3.5,54.0,1.5,1446,-4.9,0.0,0.0,0.0,0,0,0,0,1,0
47,366,23,4.0,56.0,1.0,1352,-4.0,0.0,0.0,0.0,0,0,0,0,1,0
48,342,0,4.0,58.0,1.4,1296,-3.5,0.0,0.0,0.0,0,0,0,0,1,0
49,227,1,3.9,69.0,1.7,485,-1.2,0.0,0.0,0.0,0,0,0,0,1,0
50,228,2,3.3,79.0,1.4,830,0.0,0.0,0.0,0.0,0,0,0,0,1,0
51,117,3,3.4,71.0,1.6,1011,-1.3,0.0,0.5,0.0,0,0,0,0,1,0
52,76,4,3.5,73.0,1.0,1060,-0.8,0.0,0.0,0.0,0,0,0,0,1,0
53,32,5,3.9,75.0,1.9,914,-0.1,0.0,0.0,0.0,0,0,0,0,1,0
54,13,6,3.4,86.0,2.5,278,1.2,0.0,1.0,0.0,0,0,0,0,1,0
55,22,7,3.1,91.0,1.2,129,1.7,0.0,0.0,0.0,0,0,0,0,1,0
56,85,8,3.2,92.0,1.8,244,2.0,0.0,0.0,0.0,0,0,0,0,1,0
57,152,9,3.5,91.0,1.8,231,2.1,0.02,2.5,0.0,0,0,0,0,1,0
58,200,10,4.4,89.0,2.2,257,2.7,0.24,0.0,0.0,0,0,0,0,1,0
59,273,11,5.1,87.0,1.4,321,3.1,0.25,0.0,0.0,0,0,0,0,1,0
60,333,12,5.8,85.0,1.7,349,3.4,0.43,0.0,0.0,0,0,0,0,1,0
61,495,13,6.8,81.0,1.9,390,3.7,0.6,0.0,0.0,0,0,0,0,1,0
62,563,14,7.6,76.0,1.2,422,3.6,0.69,0.0,0.0,0,0,0,0,1,0
63,621,15,8.0,73.0,1.6,433,3.4,0.53,0.0,0.0,0,0,0,0,1,0
64,598,16,7.6,77.0,1.6,399,3.8,0.2,0.0,0.0,0,0,0,0,1,0
65,545,17,6.7,82.0,1.5,358,3.8,0.05,0.0,0.0,0,0,0,0,1,0
66,443,18,6.0,84.0,1.9,327,3.4,0.0,0.0,0.0,0,0,0,0,1,0
67,422,19,5.7,85.0,1.7,309,3.3,0.0,0.0,0.0,0,0,0,0,1,0
68,397,20,5.2,87.0,1.4,253,3.2,0.0,0.0,0.0,0,0,0,0,1,0
69,385,21,4.7,87.0,1.2,247,2.7,0.0,0.0,0.0,0,0,0,0,1,0
70,350,22,4.3,89.0,1.8,201,2.6,0.0,0.0,0.0,0,0,0,0,1,0
71,303,23,3.9,90.0,1.3,194,2.4,0.0,0.0,0.0,0,0,0,0,1,0
72,285,0,4.2,88.0,0.6,216,2.3,0.0,0.0,0.0,0,0,0,0,1,1
73,186,1,4.3,87.0,0.5,221,2.3,0.0,0.0,0.0,0,0,0,0,1,1
74,112,2,4.4,87.0,1.8,207,2.4,0.0,0.0,0.0,0,0,0,0,1,1
75,65,3,3.6,85.0,2.3,206,1.3,0.0,0.0,0.0,0,0,0,0,1,1
76,41,4,2.8,89.0,1.5,130,1.1,0.0,0.0,0.0,0,0,0,0,1,1
77,82,5,2.0,83.0,2.7,253,-0.5,0.0,0.0,0.0,0,0,0,0,1,1
78,200,6,1.2,76.0,3.7,371,-2.5,0.0,0.1,0.0,0,0,0,0,1,1
79,498,7,0.2,68.0,3.4,702,-5.0,0.0,0.0,0.0,0,0,0,0,1,1
80,937,8,-0.8,69.0,3.5,954,-5.7,0.01,0.0,0.0,0,0,0,0,1,1
